City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,puerto ayora,-0.7393,-90.3518,87.76,89,98,8.01,EC,1684096634
120,tralee,52.2704,-9.7026,46.87,73,7,12.17,IE,1684096634
121,puerto deseado,-47.7503,-65.8938,51.26,67,72,14.67,AR,1684096634
122,fort mcmurray,56.7268,-111.381,83.79,28,0,12.66,CA,1684096635
123,alibag,18.6411,72.8792,86.07,79,1,5.44,IN,1684096635
124,aykhal,66.0,111.5,28.58,97,100,4.92,RU,1684096636
125,mildura,-34.2,142.15,53.69,61,18,6.2,AU,1684096636
126,timmins,48.4669,-81.3331,66.02,22,20,9.22,CA,1684096637
127,avarua,-21.2078,-159.775,78.85,73,57,6.91,CK,1684096467
128,wailua homesteads,22.0669,-159.378,79.23,75,75,19.57,US,1684096638
129,as samawah,31.332,45.2944,82.53,24,14,8.39,IQ,1684096638
130,gamba,-2.65,10.0,79.05,92,95,5.7,GA,1684096639
131,kolonia,50.9333,6.95,61.92,68,0,4.61,DE,1684096639
132,axim,4.8699,-2.2405,81.18,85,98,8.46,GH,1684096641
133,castillos,-34.1667,-53.8333,64.45,70,58,5.44,UY,1684096641
134,morovis,18.3258,-66.4066,85.21,78,100,8.72,PR,1684096641
135,quellon,-43.1167,-73.6167,57.45,100,0,3.44,CL,1684096642
136,anadyr,64.75,177.4833,21.7,73,0,17.9,RU,1684096642
137,bubaque,11.2833,-15.8333,79.57,77,86,20.22,GW,1684096643
138,port macquarie,-31.4333,152.9167,55.89,92,25,3.85,AU,1684096644
139,pisco,-13.7,-76.2167,77.05,61,0,19.57,PE,1684096644
140,petropavlovsk-kamchatsky,53.0452,158.6483,54.19,41,0,13.42,RU,1684096645
141,berbera,10.4396,45.0143,86.45,73,4,6.78,SO,1684096645
142,vwawa,-9.1167,32.9333,61.11,84,75,3.71,TZ,1684096646
143,constitucion,-35.3333,-72.4167,58.98,86,72,14.23,CL,1684096646
144,acarau,-2.8856,-40.12,80.33,82,40,11.56,BR,1684096473
145,kudat,6.8837,116.8477,76.93,100,20,2.3,MY,1684096647
146,kodiak,57.79,-152.4072,45.91,87,100,12.66,US,1684096648
147,kudahuvadhoo,2.6708,72.8944,82.74,80,100,19.86,MV,1684096649
148,severobaykal'sk,55.65,109.3167,22.26,73,1,4.5,RU,1684096649
149,kayangel,8.0823,134.7173,83.97,72,70,8.03,PW,1684096650
150,isafjordur,66.0755,-23.124,30.2,76,97,7.29,IS,1684096651
151,galle,6.0367,80.217,80.94,90,100,14.56,LK,1684096651
152,nouadhibou,20.931,-17.0347,64.17,89,20,13.35,MR,1684096652
153,horta,38.5333,-28.6333,65.84,89,40,6.91,PT,1684096652
154,sovetskaya gavan',48.9723,140.2878,48.16,78,26,6.91,RU,1684096653
155,san andres,12.5847,-81.7006,87.82,66,20,9.22,CO,1684096653
156,klyuchi,52.2667,79.1667,42.01,53,55,10.2,RU,1684096654
157,nemuro,43.3236,145.575,45.5,91,100,16.13,JP,1684096655
158,bredasdorp,-34.5322,20.0403,55.63,68,53,2.98,ZA,1684096655
